Record_ID,Material_ID,DOI,Source_File,Support,Support_Type,Amine_1_or_Additive_1,Amine_Type,MW_Mn_g_mol,Organic_Content_pct,N_Content_mmol_g,Amine_2_or_Additive_2,Amine_2_or_Additive_2_Type,Amine_3_or_Additive_3,Amine_3_or_Additive_3_Type,BET_Bare_Surface_Area_m2_g,Bare_Pore_Volume_cm3_g,Average_Bare_Pore_Diameter_nm,BET_Surface_Area_m2_g,Pore_Volume_cm3_g,Average_Pore_Diameter_nm,Relative_Humidity_pct,CO2_Concentration,CO2_Concentration_vol_pct,Flow_Rate,Flow_Rate_mL_min,Interfering_Gases,Adsorption_Temperature_C,CO2_Test_Method,CO2_Capacity,CO2_Capacity_mmol_g,Amine_Efficiency,Amine_Efficiency_mmol_mmol,Heat_of_Adsorption_kJ_mol,Time_to_Half_Saturation,Time_to_90_Saturation,Kinetic_name,Kinetic_label,Kinetic_values,Kinetic_units,Kinetic_percent_saturation,Desorption_Gas,Desorption_Temperature_C,Desorption_Time,Weight_Loss_Stability_pct,Capacity_Loss_Stability_pct,Cycle_1_name,Cycle_1_label,Cycle_1_values,Cycle_1_units,Cycle_1_max_cycle,Cycle_2_name,Cycle_2_label,Cycle_2_values,Cycle_2_units,Cycle_2_max_cycle,Model_Name,Prompt_Name
MCM-48-C_bare_MCM-48-C_bare_T25_TGA_pureCO2,MCM-48-C_bare,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,0,,,,,0,,0,,1039.0,0.82,3.7,,,,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,0.44 mmol/g,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_bare_MCM-48-W_bare_T25_TGA_pureCO2,MCM-48-W_bare,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,0,,,,,0,,0,,533.0,0.31,3.4,,,,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,0.52 mmol/g,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-C_PEI_9%_MCM-48-C_9%PEI_T25_TGA_pureCO2,MCM-48-C_PEI_9%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,9.0,2.0930232558139537,0,,0,,1039.0,0.82,3.7,585.0,0.38,3.8,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,1.06 mmol/g,1.06,11.6 mmol CO2/g PEI,11.6,63.0,287.5000000000007,1200.000000000007,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [100, 101.2], [300, 102.8], [500, 103.9], [1000, 104.7], [1500, 105.1], [2000, 105.3], [2500, 105.4], [3000, 105.4], [3500, 105.4]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_10%_MCM-48-W_10%PEI_T25_TGA_pureCO2,MCM-48-W_PEI_10%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,10.0,2.3255813953488373,CTAB,Additive,0,,533.0,0.31,3.4,206.0,0.15,3.3,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,1.51 mmol/g,1.51,15.0 mmol CO2/g PEI,15.0,56.0,178.26086956521738,683.3333333333283,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [100, 102.5], [300, 104.8], [500, 105.9], [1000, 106.5], [1500, 106.7], [2000, 106.8], [2500, 106.8], [3000, 106.8], [3500, 106.8]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-C_PEI_18%_MCM-48-C_18%PEI_T25_TGA_pureCO2,MCM-48-C_PEI_18%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,18.0,4.186046511627907,0,,0,,1039.0,0.82,3.7,529.0,0.37,3.7,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,1.42 mmol/g,1.42,7.6 mmol CO2/g PEI,7.6,62.0,691.1764705882367,2012.5000000000036,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [500, 102.8], [1000, 104.5], [1500, 105.6], [2000, 106.2], [2500, 106.6], [3000, 106.8], [3500, 106.9]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_20%_MCM-48-W_20%PEI_T25_TGA_pureCO2,MCM-48-W_PEI_20%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,20.0,4.651162790697675,CTAB,Additive,0,,533.0,0.31,3.4,163.0,0.14,2.8,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.04 mmol/g,2.04,10.1 mmol CO2/g PEI,10.1,59.0,366.93548387096735,1324.999999999994,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [500, 106.2], [1000, 107.8], [1500, 108.4], [2000, 108.7], [2500, 108.9], [3000, 109.0], [3500, 109.1]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-C_PEI_32%_MCM-48-C_32%PEI_T25_TGA_pureCO2,MCM-48-C_PEI_32%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,32.0,7.441860465116279,0,,0,,1039.0,0.82,3.7,149.0,0.14,3.5,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,1.82 mmol/g,1.82,5.6 mmol CO2/g PEI,5.6,63.0,409.0909090909095,1099.9999999999973,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [250, 102.1], [500, 104.3], [750, 105.6], [1000, 106.2], [1500, 106.7], [2000, 106.9], [2500, 107.0], [3000, 107.0], [3500, 107.0]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_27%_MCM-48-W_27%PEI_T25_TGA_pureCO2,MCM-48-W_PEI_27%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,27.0,6.279069767441861,CTAB,Additive,0,,533.0,0.31,3.4,35.0,0.18,2.2,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.35 mmol/g,2.35,8.4 mmol CO2/g PEI,8.4,61.0,347.8260869565217,1442.8571428571438,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 100.0], [250, 104.5], [500, 106.8], [750, 108.2], [1000, 109.1], [1500, 109.8], [2000, 110.2], [2500, 110.5], [3000, 110.7], [3500, 110.8]]","s, wt%","['-', '-']",,,,,,,,,,,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-C_PEI_42%_MCM-48-C_42%PEI_T25_TGA_pureCO2,MCM-48-C_PEI_42%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,42.0,9.767441860465116,0,,0,,1039.0,0.82,3.7,13.0,0.04,12.307692307692308,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.16 mmol/g,2.16,5.1 mmol CO2/g PEI,5.1,61.0,589.285714285714,1408.3333333333303,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 106.0], [500, 107.8], [1000, 109.2], [1500, 109.8], [2000, 110.0], [2500, 110.1], [3000, 110.1], [3500, 110.1]]","s, wt%","['-', '-']",,,,,,Cyclic CO2 profile,Adsorption Amount (mmol/g),"[[1, 2.05], [2, 2.03], [3, 2.02], [4, 2.01], [5, 2.0], [6, 1.99]]",mmol/g,6.0,,,,,,qwen3-max,DAC_prompt_SCaSE
MCM-48-W_PEI_37%_MCM-48-W_37%PEI_T25_TGA_pureCO2,MCM-48-W_PEI_37%,10.1021/acs.iecr.9b00534,001.pdf-id_comprehensive_extraction.json,MCM-48,Porous Silica Materials,PEI,Polymeric Amines,600.0,37.0,8.604651162790699,CTAB,Additive,0,,533.0,0.31,3.4,3.0,0.01,13.333333333333334,0.0,100%,100.0,40 mL/min,40.0,,25.0,TGA,2.59 mmol/g,2.59,6.9 mmol CO2/g PEI,6.9,60.0,514.7058823529403,1324.9999999999964,TG Curve/ CO2 adsorption profile,Weight percentage,"[[0, 106.0], [500, 108.5], [1000, 110.2], [1500, 110.8], [2000, 111.0], [2500, 111.1], [3000, 111.1], [3500, 111.1]]","s, wt%","['-', '-']",,,,,,Cyclic CO2 profile,Adsorption Amount (mmol/g),"[[1, 2.55], [2, 2.53], [3, 2.52], [4, 2.51], [5, 2.5], [6, 2.49]]",mmol/g,6.0,,,,,,qwen3-max,DAC_prompt_SCaSE
